"Marca temporal","Sexo del viajante","Edad del viajante","Año en el que se realizó","Medio de transporte principal utilizado","Duración aproximada del viaje (en dias)","Dinero gastado (en €)","Localización del destino","Número de acompañantes","Tipo de acompañantes (en caso de haber varias respuestas correctas, seleccione la que corresponda a un número mayor de acompañantes)","¿Cómo organizó el viaje?","Satisfacción con el viaje realizado","  ¿Cuál es el factor que le impide viajar más?  (Seleccione 1 o más factores)"
"2019/11/07 1:13:13 p. m. CET","Mujer","19","2019","Bus","7","100","Península","4","Amigos","Páginas web / aplicaciones","7","Falta de dinero"
"2019/11/07 1:15:17 p. m. CET","Mujer","19","2019","Avión","8","1500","Baleares","3","Familiares","Páginas web / aplicaciones","9","Falta de dinero"
"2019/11/07 1:16:25 p. m. CET","Mujer","21","2019","Coche","1","100","Península","4","Familiares","Otra persona","8","Falta de dinero;Falta de tiempo"
"2019/11/07 1:16:38 p. m. CET","Mujer","22","2018","Coche","3","200","Península","1","Otro","Páginas web / aplicaciones","8","Falta de tiempo"
"2019/11/07 1:18:58 p. m. CET","Mujer","21","2019","Avión","1","100","Europa","5","Familiares","Páginas web / aplicaciones","10","Falta de dinero;Falta de tiempo"
"2019/11/07 1:19:37 p. m. CET","Mujer","24","2019","Tren","10","350","Europa","0","Solo","Otra persona","7","Falta de dinero;Dificultad para encontrar gente con la quien viajar"
"2019/11/07 1:36:39 p. m. CET","Mujer","23","2019","Avión","4","800","Europa","1","Otro","Páginas web / aplicaciones","10","Falta de dinero"
"2019/11/07 1:40:54 p. m. CET","Hombre","22","2019","Avión","5","500","Europa","1","Otro","Páginas web / aplicaciones","10","Falta de dinero;Falta de tiempo"
"2019/11/07 1:41:08 p. m. CET","Mujer","23","2019","Coche","2","150","Península","1","Otro","Otra persona","8","Falta de dinero"
"2019/11/07 1:44:14 p. m. CET","Mujer","24","2019","Avión","7","1500","Europa","8","Familiares","Páginas web / aplicaciones","8","Falta de dinero"
"2019/11/07 1:51:19 p. m. CET","Mujer","25","2019","Avión","4","700","Europa","3","Familiares","Páginas web / aplicaciones","8","Falta de dinero"
"2019/11/07 1:58:16 p. m. CET","Mujer","21","2019","Avión","7","800","Baleares","1","Familiares","Otra persona","9","Dificultad en la organización del viaje;Dificultad para encontrar gente con la quien viajar"
"2019/11/07 2:01:53 p. m. CET","Mujer","22","2019","Avión","7","250","Baleares","7","Amigos","Páginas web / aplicaciones","9","Falta de tiempo"
"2019/11/07 2:02:10 p. m. CET","Mujer","21","2018","Avión","3","80","Europa","1","Amigos","Páginas web / aplicaciones","8","Falta de dinero;Falta de tiempo;Dificultad para encontrar gente con la quien viajar"
"2019/11/07 2:16:05 p. m. CET","Mujer","20","2019","Avión","5","100","Canarias","3","Familiares","Agencia de viajes","9","Falta de dinero;Falta de tiempo"
"2019/11/07 2:31:42 p. m. CET","Mujer","21","2019","Tren","2","140","Península","2","Familiares","Páginas web / aplicaciones","7","Ya viajo lo suficiente"
"2019/11/07 2:36:29 p. m. CET","Mujer","20","2019","Tren","7","300","Península","3","Amigos","Páginas web / aplicaciones","9","Falta de dinero"
"2019/11/07 2:40:55 p. m. CET","Mujer","21","2019","Bus","5","170","Península","2","Amigos","Páginas web / aplicaciones","10","Falta de dinero"
"2019/11/07 2:46:29 p. m. CET","Mujer","20","2019","Avión","5","350","Europa","5","Amigos","Páginas web / aplicaciones","10","Falta de dinero;Falta de tiempo"
"2019/11/07 2:47:49 p. m. CET","Mujer","22","2019","Avión","6","400","Europa","2","Amigos","Otra persona","8","Falta de dinero"
"2019/11/07 2:56:16 p. m. CET","Mujer","20","2019","Avión","6","500","Europa","1","Familiares","Páginas web / aplicaciones","9","Falta de tiempo"
